book,page,seq,hangul,pos,meaning_cn,example_ko,example_zh,status,note
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),21,1,미소를짓다,,微笑,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),22,2,낄낄거리며웃다,,小声笑,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),24,3,빙그레웃다,,微微一笑,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),31,4,열받다,,生气,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),32,5,짜증나다,,心烦,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),33,6,분노하다,,愤怒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),34,7,긴장하다,,紧张,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),35,8,성질나다,,发脾气,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),42,9,귀엽다,,可爱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),43,10,사랑하다,,爱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),44,11,수줍다,,很害羞,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),45,12,그립다,,很思念,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),46,13,마음에들다,,合心意,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),46,14,좋아하다,,喜欢,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),46,15,기대하다,,很期待,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),46,16,괜찮다,,一般喜欢,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),54,17,밉상이다,,讨厌,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),55,18,짜증나다,,烦人,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),56,19,혐오하다,,憎恶,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),57,20,그밉상이또왔네.,,他那飘飘然的样子真让人讨厌。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),63,21,설움하다,,悲愤,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),63,22,비애이다,,悲哀,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),63,23,비관적이다,,悲观,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),63,24,슬프다,,悲伤,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),63,25,비통하다,,悲痛,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),64,26,상심하다,,伤心,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),65,27,절망하다,,绝望,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),74,28,머리,,头部,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),74,29,머리카락,,头发,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),74,30,얼굴,,面部,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),74,31,눈,,眼睛,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),75,32,귀,,耳朵,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),76,33,코,,鼻子,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),77,34,입,,口部,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),78,35,부리부리한눈.,,她的头发还有点湿。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,36,곱다,,好看,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,37,예쁘다,,漂亮,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,38,멋있다,,帅气,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,39,귀엽다,,可爱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,40,보통하다,,一般,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,41,못생기다,,难看,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,42,흉측하다,,丑陋,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),85,43,크다,,高的,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),86,44,작다,,矮的,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),87,45,뚱뚱하다,,胖的,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),88,46,여위다,,瘦的,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),89,47,머리스타일,,发型,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),90,48,단발머리,,短发,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),90,49,장발머리,,长发,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,50,간장,,肝脏,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,51,비장,,脾脏,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,52,대장,,大肠,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,53,소장,,小肠,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,54,위장,,胃肠,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,55,가슴,,胸口,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,56,심장,,心脏,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),99,57,뼈,,骨头,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),108,58,설사,,腹泻,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),108,59,변비,,便秘,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),108,60,천식,,气喘,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),108,61,감기,,感冒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),109,62,열나다,,发烧,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),110,63,콧물흐르다,,流鼻涕,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),111,64,배아프다,,肚子痛,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),112,65,두통,,头痛,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),113,66,기침,,咳嗽,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,67,구토,,呕吐,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,68,식중독,,食物中毒,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,69,심장병,,心脏病,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,70,고혈압,,高血压,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,71,당뇨병,,糖尿病,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,72,치통,,牙齿痛,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),114,73,충치,,蛀牙,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),115,74,두통이심하다.,,孩子高烧竟达40度。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),115,75,감기가쇠다.,,感冒了流鼻涕。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,76,출혈한다,,流血,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,77,부상하다,,受伤,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,78,삐다,,扭伤,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,79,골절,,骨折,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,80,화상,,烫伤,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),120,81,온도계,,温度计,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),121,82,주사기,,注射器,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),122,83,붕대,,绷带,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),123,84,휠체어,,轮椅,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),124,85,구급차,,救护车,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),125,86,구급상자,,急救箱,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,87,봉합,,缝合,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,88,엑스레이검사,,X光检查,,,,已订正错位释义
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,89,심전도,,心电图,,,,已订正错位释义
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,90,혈압을재다,,量血压,,,,已订正错位释义
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,91,체온을재다,,测体温,,,,已订正错位释义
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,92,채혈,,抽血,,,,存疑:无释义；已订正错位释义
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,93,접수하다,,挂号,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,94,소아과,,儿科,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),126,95,치과,,牙科,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),127,96,진단,,诊断,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),127,97,지팡이,,拐杖,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),127,98,석고,,石膏,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),127,99,출혈이심합니다.,,有人受伤了。,,,delete,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,100,아주머니,,阿姨,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,101,외할아버지,,外公,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,102,외할머니,,外婆,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,103,고모,,姑姑,,,,
我的第一本韩语漫画口语书：从零开始学韩语 (优尼创新外语研发中心),136,104,외삼촌,,舅舅,,,,
