entry_id,volume,chapter,unit,sequence,source_order,korean,chinese,english,entry_kind,pos,pos_zh,origin_type,origin_detail,pronunciation,dictionary_source,dictionary_candidate_count,match_method,english_method,match_confidence,review_status,revision_note
v03-c01-u01-001,3,1,1,1,1,시간을 내다,腾出时间，抽空,make time,expression,표현,表达,expression,시간(時間) + 내다(固),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v03-c01-u01-002,3,1,1,2,2,마음을 먹다,下决心,make up one's mind,expression,표현,表达,expression,마음(固) + 먹다(固),,Korean Basic Dictionary,0,component_match,editorial_override,0.42,low,English gloss added by project editorial pass.
v03-c01-u01-003,3,1,1,3,3,가능하다,可能,possible; able,lexeme,형용사,形,hybrid,可能하다,가ː능하다,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u01-004,3,1,1,4,4,모으다,收集,collect; gather,lexeme,동사,动,native,,,Korean Basic Dictionary,8,editorial_override,editorial_override,1.0,verified,收集义；原英文 obtain/procure 误配到另一义项。
v03-c01-u01-005,3,1,1,5,5,세계,世界,world; universe,lexeme,명사,名,hanja,世界,세ː계/세ː게,Korean Basic Dictionary,3,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v03-c01-u01-006,3,1,1,6,6,거의,几乎，差不多,nearly; almost,lexeme,부사,副,native,,거의/거이,Korean Basic Dictionary,3,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u01-007,3,1,1,7,7,수집하다,收集,collect; gather,lexeme,동사,动,hybrid,收集하다,수지파다,Korean Basic Dictionary,2,exact_ambiguous_tie,dictionary_equivalent,0.45,low,
v03-c01-u01-008,3,1,1,8,8,감상하다,欣赏，鉴赏,appreciate,lexeme,동사,动,hybrid,鑑賞하다,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u01-009,3,1,1,9,9,두다,下（棋）,play,lexeme,동사,动,native,,,Korean Basic Dictionary,28,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u01-010,3,1,1,10,10,요가,瑜伽,yoga,lexeme,명사,名,loanword,yoga,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u01-011,3,1,1,11,11,다양하다,各种各样，多样,various; diverse,lexeme,형용사,形,hybrid,多樣하다,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u01-012,3,1,1,12,12,장르,体裁,genre,lexeme,명사,名,loanword,genre,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u01-013,3,1,1,13,13,공포,恐怖,fear,lexeme,명사,名,hanja,恐怖,공ː포,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u01-014,3,1,1,14,14,개봉하다,开映，首映,release; be coming soon,lexeme,동사,动,hybrid,開封하다,,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u02-001,3,1,2,15,15,학원,学院，学习班,private institute; academy; cram school,lexeme,명사,名,hanja,學院,하권,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u02-002,3,1,2,16,16,등록하다,注册，报名,register; enroll,lexeme,동사,动,hybrid,登錄하다,등노카다,Korean Basic Dictionary,2,exact_ranked_gloss,dictionary_equivalent,0.91,high,
v03-c01-u02-003,3,1,2,17,17,완성하다,完成,complete,lexeme,동사,动,hybrid,完成하다,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u02-004,3,1,2,18,18,인물화,人物画,figure painting; portrait,lexeme,명사,名,hanja,人物畫,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u02-005,3,1,2,19,19,풍경화,风景画,landscape,lexeme,명사,名,hanja,風景畫,,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u02-006,3,1,2,20,20,전시회,展示会，展览会,exhibition,lexeme,명사,名,hanja,展示會,전ː시회/전ː시훼,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u02-007,3,1,2,21,21,연주회,演奏会,concert; recital,lexeme,명사,名,hanja,演奏會,연ː주회/연ː주훼,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
v03-c01-u02-008,3,1,2,22,22,상영,上映，放映,screening; showing,lexeme,명사,名,hanja,上映,상ː영,Korean Basic Dictionary,1,exact_unique_gloss,dictionary_equivalent,0.97,high,
